,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
892,785,66356,Darshan PUJARI,82989,Dmitriy PANARIN,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,66356,1
893,784,66356,Darshan PUJARI,79604,Dicky Dwi PANGESTU,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,66356,1
894,4279,81043,Vaishnavi KHADKEKAR,81703,Mysha Omer KHAN,5292,Uganda International Challenge 2025,2025-02-19,QF,Win,81043,1
895,5053,44457,Ayush DASH,79739,Dhiren AYYAPPAN,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,44457,2
896,5054,44457,Ayush DASH,79176,Ahmed NIBAL,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,44457,1
897,5055,44457,Ayush DASH,61784,Eric OFOYURU,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,44457,2
898,4280,81043,Vaishnavi KHADKEKAR,70489,Farida FIKRY  ELTAWEEL,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,81043,2
899,4281,81043,Vaishnavi KHADKEKAR,56118,Ramiah BUKENYA,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,81043,1
900,727,94972,Samarveer .,99685,Driss BOURROUM,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,94972,1
901,726,94972,Samarveer .,79604,Dicky Dwi PANGESTU,5292,Uganda International Challenge 2025,2025-02-19,R16,Loss,94972,2
902,2782,82685,Shruti MUNDADA,98705,Hajar NURIYEVA,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,82685,2
903,2781,82685,Shruti MUNDADA,87885,Neslihan ARIN,5292,Uganda International Challenge 2025,2025-02-19,R16,Loss,82685,1
904,2676,86431,Ishita NEGI,59101,Alya ELGHANDOUR,5292,Uganda International Challenge 2025,2025-02-19,Qual. R16,Win,86431,2
905,2675,86431,Ishita NEGI,71490,Nazifa NAKIYEMBA,5292,Uganda International Challenge 2025,2025-02-19,Qual. R32,Win,86431,2
906,2674,86431,Ishita NEGI,70796,Nour FIKRY ELTAWEEL,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,86431,1
907,786,66356,Darshan PUJARI,86755,Numair SHAIK,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,66356,1
908,4278,81043,Vaishnavi KHADKEKAR,55905,Lucie AMIGUET,5292,Uganda International Challenge 2025,2025-02-19,SF,Loss,81043,1
909,2673,86431,Ishita NEGI,81727,Kavipriya SELVAM,5292,Uganda International Challenge 2025,2025-02-19,R16,Loss,86431,2
910,4243,81727,Kavipriya SELVAM,69091,Lauren LAM,5292,Uganda International Challenge 2025,2025-02-19,SF,Loss,81727,2
911,3789,56434,Akshan SHETTY,95523,Aditya DIWAKAR,5292,Uganda International Challenge 2025,2025-02-19,SF,Win,56434,2
912,2278,81727,Kavipriya SELVAM,93199,Fadilah Shamika MOHAMED RAFI,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,81727,1
913,1027,61880,Lakshay SHARMA,57594,Kevin Arokia WALTER,5292,Uganda International Challenge 2025,2025-02-19,Qual. R16,Win,61880,1
914,1026,61880,Lakshay SHARMA,65546,Mikolaj SZYMANOWSKI,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,61880,1
915,1025,61880,Lakshay SHARMA,79110,Sholeh AIDIL,5292,Uganda International Challenge 2025,2025-02-19,R16,Loss,61880,1
916,3788,56434,Akshan SHETTY,73913,Dingku Singh KONTHOUJAM,5292,Uganda International Challenge 2025,2025-02-19,Final,Loss,56434,1
