,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
105,2613,97168,AALISHA NAIK,71554,Maria KISIEL,5368,I FEEL SLOVENIA LI-NING Open 2025,2025-05-14,Qual. R16,Win,97168,1
106,2612,97168,AALISHA NAIK,65556,Xin Yi Megan LEE,5368,I FEEL SLOVENIA LI-NING Open 2025,2025-05-14,R32,Win,97168,2
107,2008,70595,Shriyanshi VALISHETTY,57833,Joanne NG,5302,ST DENIS Reunion Open 2025,2025-05-14,R32,Win,70595,2
108,2007,70595,Shriyanshi VALISHETTY,62406,Vilte PAULAUSKAITE,5302,ST DENIS Reunion Open 2025,2025-05-14,R16,Win,70595,2
115,3408,69560,Hariharan AMSAKARUNAN,59445,Jean Bernard BONGOUT,5302,ST DENIS Reunion Open 2025,2025-05-14,R16,Win,69560,1
116,3407,69560,Hariharan AMSAKARUNAN,82404,Daniel Md Zakaria ASHRAF,5302,ST DENIS Reunion Open 2025,2025-05-14,SF,Win,69560,1
120,3406,69560,Hariharan AMSAKARUNAN,77168,Dev AYYAPPAN,5302,ST DENIS Reunion Open 2025,2025-05-14,QF,Win,69560,1
121,991,82572,Pranay SHETTIGAR,68819,Milan DRATVA,5302,ST DENIS Reunion Open 2025,2025-05-14,R16,Loss,82572,1
127,3405,69560,Hariharan AMSAKARUNAN,91112,Mael CATTOEN,5302,ST DENIS Reunion Open 2025,2025-05-14,Final,Win,69560,1
129,2006,70595,Shriyanshi VALISHETTY,75174,Yu-Hsuan LEE,5302,ST DENIS Reunion Open 2025,2025-05-14,QF,Win,70595,1
131,2005,70595,Shriyanshi VALISHETTY,75628,Ashmita CHALIHA,5302,ST DENIS Reunion Open 2025,2025-05-14,SF,Win,70595,1
132,1975,99042,Tanvi SHARMA,77256,Xuefei QI,5302,ST DENIS Reunion Open 2025,2025-05-14,R16,Win,99042,1
145,992,82572,Pranay SHETTIGAR,57594,Kevin Arokia WALTER,5302,ST DENIS Reunion Open 2025,2025-05-14,R32,Win,82572,1
147,993,82572,Pranay SHETTIGAR,86140,Bernard TANG,5302,ST DENIS Reunion Open 2025,2025-05-14,Qual. R16,Win,82572,1
148,1974,99042,Tanvi SHARMA,76851,Isharani BARUAH,5302,ST DENIS Reunion Open 2025,2025-05-14,QF,Loss,99042,1
149,2605,97168,AALISHA NAIK,66485,Ga Eun PARK,5368,I FEEL SLOVENIA LI-NING Open 2025,2025-05-14,R16,Win,97168,1
153,1976,99042,Tanvi SHARMA,98011,Prakriti BHARATH,5302,ST DENIS Reunion Open 2025,2025-05-14,R32,Win,99042,1
155,2004,70595,Shriyanshi VALISHETTY,76851,Isharani BARUAH,5302,ST DENIS Reunion Open 2025,2025-05-14,Final,Loss,70595,1
156,2611,97168,AALISHA NAIK,85668,Pei Yu WANG,5368,I FEEL SLOVENIA LI-NING Open 2025,2025-05-14,R64,Win,97168,2
157,1796,59687,Unnati HOODA,84062,Pornpawee CHOCHUWONG,5225,TOYOTA Thailand Open 2025,2025-05-13,R16,Loss,59687,1
158,64,68322,Ayush SHETTY,85563,Joakim OLDORFF,5225,TOYOTA Thailand Open 2025,2025-05-13,Qual. R16,Win,68322,2
162,1855,91807,Rakshitha Sree SANTHOSH RAMRAJ,83822,Jia Min YEO,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Loss,91807,1
163,4123,71612,Treesa JOLLY,84159,Rui HIROKAMI,5225,TOYOTA Thailand Open 2025,2025-05-13,R16,Loss,71612,2
164,1797,59687,Unnati HOODA,53807,Thamonwan NITHIITTIKRAI,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Win,59687,1
168,1824,74481,Anupama UPADHYAYA,35642,Ratchanok INTANON,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Loss,74481,2
170,122,69093,Priyanshu RAJAWAT,58089,Alwi FARHAN,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Loss,69093,2
172,63,68322,Ayush SHETTY,68392,Justin HOH,5225,TOYOTA Thailand Open 2025,2025-05-13,Qual. QF,Loss,68322,1
175,4124,71612,Treesa JOLLY,80386,Xin Yee ONG,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Win,71612,1
176,2,68870,Lakshya SEN,85095,Nhat NGUYEN,5225,TOYOTA Thailand Open 2025,2025-05-13,R32,Loss,68870,1
191,994,82572,Pranay SHETTIGAR,59614,Prahdiska Bagas SHUJIWO,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,R32,Loss,82572,1
195,995,82572,Pranay SHETTIGAR,91946,Jacob THYGE,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,Qual. R64,Win,82572,1
201,1977,99042,Tanvi SHARMA,92444,Ni Kadek Dhinda Amartya PRATIWI,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,Final,Win,99042,1
202,1978,99042,Tanvi SHARMA,87112,Kaloyana NALBANTOVA,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,QF,Win,99042,1
203,1979,99042,Tanvi SHARMA,64956,Mutiara Ayu PUSPITASARI,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,SF,Win,99042,1
204,1980,99042,Tanvi SHARMA,83984,Aditi BHATT,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,R32,Win,99042,2
205,1981,99042,Tanvi SHARMA,96877,Polina BUHROVA,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,R16,Win,99042,2
206,996,82572,Pranay SHETTIGAR,88276,Bismo Raya OKTORA,5429,STATE Denmark Challenge 2025 presented by RSL,2025-05-08,Qual. R16,Win,82572,2
224,2616,97168,AALISHA NAIK,80440,Shan Zi OO,5301,KAWASAKI Slovak Open 2025,2025-05-07,QF,Win,97168,1
225,2617,97168,AALISHA NAIK,81001,Anastasiia ALYMOVA,5301,KAWASAKI Slovak Open 2025,2025-05-07,R16,Win,97168,2
226,2010,70595,Shriyanshi VALISHETTY,96511,Cecilia MADERA,5404,V Mexican International Challenge 2025,2025-05-07,R16,Win,70595,2
227,2011,70595,Shriyanshi VALISHETTY,71414,Eyota KWAN,5404,V Mexican International Challenge 2025,2025-05-07,R32,Win,70595,2
228,2618,97168,AALISHA NAIK,98297,Gloria POLUEKTOV,5301,KAWASAKI Slovak Open 2025,2025-05-07,R32,Win,97168,2
229,2619,97168,AALISHA NAIK,93354,Pawankorn PUNYARATABANDHU,5301,KAWASAKI Slovak Open 2025,2025-05-07,Qual. R16,Win,97168,1
230,2620,97168,AALISHA NAIK,83643,Katie WATSON,5301,KAWASAKI Slovak Open 2025,2025-05-07,Qual. R32,Win,97168,1
231,2009,70595,Shriyanshi VALISHETTY,57727,Shiori EBIHARA,5404,V Mexican International Challenge 2025,2025-05-07,QF,Loss,70595,1
232,2614,97168,AALISHA NAIK,75944,Jelena BUCHBERGER,5301,KAWASAKI Slovak Open 2025,2025-05-07,SF,Win,97168,2
233,2615,97168,AALISHA NAIK,92553,Jui-Chi LIAO,5301,KAWASAKI Slovak Open 2025,2025-05-07,Final,Win,97168,1
237,1798,59687,Unnati HOODA,82070,Tomoka MIYAZAKI,5233,YONEX Taipei Open 2025,2025-05-06,SF,Loss,59687,1
