athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
68870,Lakshya SEN,2024-12-31,12,30,
68870,Lakshya SEN,2025-01-07,12,8,
68870,Lakshya SEN,2025-01-14,12,6,
68870,Lakshya SEN,2025-01-21,10,6,
68870,Lakshya SEN,2025-01-28,10,6,
68870,Lakshya SEN,2025-02-04,10,6,
68870,Lakshya SEN,2025-02-11,10,6,
68870,Lakshya SEN,2025-02-18,10,6,
68870,Lakshya SEN,2025-02-25,10,6,
68870,Lakshya SEN,2025-03-04,10,10,
68870,Lakshya SEN,2025-03-11,15,13,
68870,Lakshya SEN,2025-03-18,18,9,
68870,Lakshya SEN,2025-03-25,18,12,
68870,Lakshya SEN,2025-04-01,16,12,
68870,Lakshya SEN,2025-04-08,16,12,
68870,Lakshya SEN,2025-04-15,18,12,
68870,Lakshya SEN,2025-04-22,18,12,
68870,Lakshya SEN,2025-04-29,18,12,
68870,Lakshya SEN,2025-05-06,19,12,
68870,Lakshya SEN,2025-05-13,18,15,
68870,Lakshya SEN,2025-05-20,16,15,
68870,Lakshya SEN,2025-05-27,17,22,
68870,Lakshya SEN,2025-06-03,18,23,
68870,Lakshya SEN,2025-06-10,22,25,
83950,PRANNOY H. S.,2010-02-11,552,25,
83950,PRANNOY H. S.,2010-03-11,552,25,
83950,PRANNOY H. S.,2010-03-11,562,25,
83950,PRANNOY H. S.,2010-03-11,578,25,
83950,PRANNOY H. S.,2010-03-11,579,25,
83950,PRANNOY H. S.,2010-03-18,579,25,
83950,PRANNOY H. S.,2010-03-25,580,25,
83950,PRANNOY H. S.,2010-04-01,575,25,
83950,PRANNOY H. S.,2010-04-08,563,25,
83950,PRANNOY H. S.,2010-04-15,562,25,
83950,PRANNOY H. S.,2010-04-22,559,25,
83950,PRANNOY H. S.,2010-04-29,566,25,
83950,PRANNOY H. S.,2010-05-06,566,25,
83950,PRANNOY H. S.,2010-05-13,561,25,
83950,PRANNOY H. S.,2010-05-20,559,25,
83950,PRANNOY H. S.,2010-05-27,561,25,
83950,PRANNOY H. S.,2010-06-03,570,25,
83950,PRANNOY H. S.,2010-06-10,567,25,
83950,PRANNOY H. S.,2010-06-17,459,25,
83950,PRANNOY H. S.,2010-06-24,457,25,
83950,PRANNOY H. S.,2010-07-01,451,25,
83950,PRANNOY H. S.,2010-07-08,449,25,
83950,PRANNOY H. S.,2010-07-15,456,25,
83950,PRANNOY H. S.,2010-07-22,462,25,
83950,PRANNOY H. S.,2010-07-29,464,25,
83950,PRANNOY H. S.,2010-08-05,461,25,
83950,PRANNOY H. S.,2010-08-12,463,25,
83950,PRANNOY H. S.,2010-08-19,463,25,
83950,PRANNOY H. S.,2010-08-26,463,25,
83950,PRANNOY H. S.,2010-09-02,463,25,
83950,PRANNOY H. S.,2010-09-09,465,25,
83950,PRANNOY H. S.,2010-09-16,472,25,
83950,PRANNOY H. S.,2010-09-23,470,25,
83950,PRANNOY H. S.,2010-09-30,469,25,
83950,PRANNOY H. S.,2010-10-07,471,25,
83950,PRANNOY H. S.,2010-10-14,479,25,
83950,PRANNOY H. S.,2010-10-21,484,25,
83950,PRANNOY H. S.,2010-10-28,483,25,
83950,PRANNOY H. S.,2010-11-04,483,25,
83950,PRANNOY H. S.,2010-11-11,484,25,
83950,PRANNOY H. S.,2010-11-18,483,25,
